Date,Time,D.O.,Temp
2015/10/31,00:00,8.9,18.3
2015/10/31,00:15,8.8,18.2
2015/10/31,00:30,8.7,18.2
2015/10/31,00:45,8.7,18.1
2015/10/31,01:00,8.5,18.0
2015/10/31,01:15,8.5,17.9
2015/10/31,01:30,8.3,17.8
2015/10/31,01:45,8.3,17.6
2015/10/31,02:00,8.0,17.5
2015/10/31,02:15,7.9,17.4
2015/10/31,02:30,8.1,17.2
2015/10/31,02:45,8.1,17.3
2015/10/31,03:00,8.1,17.2
2015/10/31,03:15,8.1,17.3
2015/10/31,04:30,8.0,17.4
2015/10/31,04:45,7.9,17.4
2015/10/31,05:00,7.8,17.3
2015/10/31,05:15,7.7,17.2
2015/10/31,05:30,7.6,17.2
2015/10/31,05:45,7.6,17.2
2015/10/31,06:00,7.5,17.1
2015/10/31,06:15,7.5,17.1
2015/10/31,06:30,7.4,17.1
2015/10/31,06:45,7.0,17.1
2015/10/31,07:00,7.1,17.0
2015/10/31,07:15,7.1,17.0
2015/10/31,07:30,7.1,16.9
2015/10/31,07:45,7.2,16.9
2015/10/31,08:00,7.3,16.9
2015/10/31,08:15,7.2,16.9
2015/10/31,08:30,7.3,16.9
2015/10/31,08:45,7.2,16.9
2015/10/31,09:00,7.3,17.0
2015/10/31,09:15,7.5,17.0
2015/10/31,09:30,7.6,17.1
2015/10/31,09:45,7.6,17.2
2015/10/31,10:00,7.8,17.2
2015/10/31,10:15,7.8,17.2
2015/10/31,10:30,7.8,17.2
2015/10/31,10:45,7.7,17.2
2015/10/31,11:00,7.7,17.0
2015/10/31,11:15,7.5,16.9
2015/10/31,11:30,7.5,16.9
2015/10/31,11:45,7.6,16.9
2015/10/31,12:00,7.1,16.8
2015/10/31,12:15,7.5,16.9
2015/10/31,12:30,7.1,16.7
2015/10/31,12:45,7.0,16.7
2015/10/31,13:00,7.7,17.0
2015/10/31,13:15,7.4,16.9
2015/10/31,14:30,8.4,17.3
2015/10/31,14:45,8.7,17.6
2015/10/31,15:00,8.8,17.9
2015/10/31,15:15,9.1,18.0
2015/10/31,15:30,9.3,18.2
2015/10/31,15:45,9.5,18.2
2015/10/31,16:00,9.6,18.2
2015/10/31,16:15,9.6,18.3
2015/10/31,16:30,9.6,18.3
2015/10/31,16:45,9.6,18.3
2015/10/31,17:00,9.5,18.3
2015/10/31,17:15,9.5,18.3
2015/10/31,17:30,9.4,18.4
2015/10/31,17:45,9.3,18.3
2015/10/31,18:00,9.2,18.3
2015/10/31,18:15,9.1,18.3
2015/10/31,18:30,9.0,18.2
2015/10/31,18:45,8.8,18.2
2015/10/31,19:00,8.7,18.2
2015/10/31,19:15,8.5,18.2
2015/10/31,19:30,8.0,18.2
2015/10/31,19:45,7.5,18.2
2015/10/31,20:00,8.2,18.2
2015/10/31,20:15,7.7,18.2
2015/10/31,20:30,7.9,18.2
